id;departement_code;zip_code;name;gps_lat;gps_lng
1;aggregate;92175;Salad Bretagne;19299;55452
2;c;83929;Rhône-Alpes;33383;82853
3;Account Designer Saint-Vincent-et-les-Grenadines;45442;b;73688;91554
4;Luxembourg parsing;08710;Outdoors reboot quantifying;68579;70159
5;a b;25633;Fantastic Assimilated invoice;3564;18312
6;Soft;71102;haptic Stagiaire;18567;78805
7;Ball Gloves;12997;next withdrawal Brunei;59504;69798
8;circuit capacitor;11832;compress Multi-layered Bedfordshire;11729;37424
9;alliance transmitting;81524;budgetary copy;95149;58062
10;best-of-breed;09384;brand Hat;215;78649
