id;region_code;code;name
1;c monitoring;e-tailers Victoire;envisioneer Networked
2;full-range Borders back-end;payment;redefine Dinar
3;Leone Timor;parsing a zero;invoice
4;neural;invoice gold maroon;SDD
5;e-services;facilitate Bedfordshire;vertical
6;envisioneer Frozen;d'Azur USB;Automotive
7;Borders Chips Granite;Ingenieur Intuitive;Borders Limousin
8;enhance matrix Handcrafted;Checking Nicaragua radical;Bangladesh
9;de Home open-source;Ouganda;driver
10;metrics Bangladesh;des Generic;circuit
